Date        West     East     DMI(=West-East)
1879:11:16:0 -0.710223 -0.226073 -0.48415
1879:12:16:0 -0.670793 -0.299292 -0.3715
1880:1:16:0 -0.64844 -0.380609 -0.267831
1880:2:16:0 -0.302105 -0.229589 -0.0725164
1880:3:16:0 -0.246685 -0.0909491 -0.155736
1880:4:16:0 -0.0671601 -0.266677 0.199516
1880:5:16:0 -0.318537 -0.399153 0.0806158
1880:6:16:0 -0.491636 -0.402121 -0.0895149
1880:7:16:0 -0.291102 -0.0826084 -0.208494
1880:8:16:0 -0.0929969 0.183056 -0.276053
1880:9:16:0 -0.221609 -0.0542719 -0.167337
1880:10:16:0 -0.355967 0.00565065 -0.361618
1880:11:16:0 -0.166407 0.109397 -0.275804
1880:12:16:0 -0.177256 -0.0646346 -0.112622
1881:1:16:0 -0.313044 -0.33841 0.0253664
1881:2:16:0 -0.320452 -0.00175109 -0.318701
1881:3:16:0 0.0193589 0.201401 -0.182042
1881:4:16:0 0.0438932 0.302337 -0.258444
1881:5:16:0 0.244478 0.164875 0.079603
1881:6:16:0 0.187163 -0.193319 0.380482
1881:7:16:0 0.286342 0.10007 0.186272
1881:8:16:0 0.269044 0.0441857 0.224858
1881:9:16:0 0.0971077 0.015629 0.0814787
1881:10:16:0 -0.0345351 0.0325968 -0.0671319
1881:11:16:0 -0.161064 -0.0683712 -0.0926933
1881:12:16:0 -0.194404 0.0671433 -0.261547
1882:1:16:0 -0.132239 0.23679 -0.36903
1882:2:16:0 -0.131863 0.349729 -0.481592
1882:3:16:0 -0.041082 -0.0583059 0.0172239
1882:4:16:0 0.0367378 -0.0171105 0.0538483
1882:5:16:0 -0.0496798 -0.193399 0.143719
1882:6:16:0 -0.228395 -0.364371 0.135976
1882:7:16:0 -0.176944 -0.261808 0.0848644
1882:8:16:0 -0.208564 -0.0161365 -0.192427
1882:9:16:0 -0.213126 0.0412402 -0.254366
1882:10:16:0 -0.18559 -0.0599274 -0.125662
1882:11:16:0 -0.375936 -0.277823 -0.0981128
1882:12:16:0 -0.539611 -0.349027 -0.190584
1883:1:16:0 -0.1993 0.318196 -0.517496
1883:2:16:0 -0.0674102 -0.0433835 -0.0240267
1883:3:16:0 -0.283485 -0.147532 -0.135953
1883:4:16:0 -0.26094 -0.341177 0.0802361
1883:5:16:0 -0.223469 -0.244084 0.0206154
1883:6:16:0 0.172775 0.0480951 0.12468
1883:7:16:0 0.0306747 -0.00520379 0.0358784
1883:8:16:0 -0.173838 -0.3505 0.176663
1883:9:16:0 -0.346674 -0.228854 -0.11782
1883:10:16:0 -0.362722 -0.388184 0.0254622
1883:11:16:0 -0.372407 -0.291712 -0.0806954
1883:12:16:0 -0.561975 -0.468723 -0.0932519
1884:1:16:0 -0.609634 -0.392254 -0.217381
1884:2:16:0 -0.350894 -0.355872 0.00497821
1884:3:16:0 -0.282724 -0.13242 -0.150305
1884:4:16:0 -0.0435356 -0.321192 0.277656
1884:5:16:0 0.120341 -0.340688 0.461028
1884:6:16:0 -0.272788 -0.283905 0.011117
1884:7:16:0 0.0976454 -0.21072 0.308366
1884:8:16:0 0.0725334 0.0777016 -0.00516814
1884:9:16:0 0.0542454 0.139691 -0.0854454
1884:10:16:0 -0.0361982 -0.0604962 0.0242981
1884:11:16:0 -0.245844 -0.0449961 -0.200848
1884:12:16:0 -0.205849 -0.0207016 -0.185147
1885:1:16:0 -0.228481 0.0556815 -0.284163
1885:2:16:0 -0.282471 -0.386698 0.104227
1885:3:16:0 -0.231878 -0.226043 -0.00583574
1885:4:16:0 -0.240431 -0.234022 -0.00640987
1885:5:16:0 -0.257203 -0.267627 0.0104239
1885:6:16:0 -0.440138 -0.524048 0.0839095
1885:7:16:0 -0.44464 -0.542834 0.0981941
1885:8:16:0 -0.320218 -0.399926 0.079708
1885:9:16:0 -0.180969 -0.223092 0.0421222
1885:10:16:0 -0.169162 -0.323349 0.154187
1885:11:16:0 -0.208231 -0.00492312 -0.203308
1885:12:16:0 -0.163626 0.00233091 -0.165957
1886:1:16:0 -0.173167 0.25338 -0.426547
1886:2:16:0 -0.361165 0.21701 -0.578176
1886:3:16:0 0.0196356 0.311843 -0.292207
1886:4:16:0 0.112511 0.189399 -0.0768888
1886:5:16:0 -0.165651 0.0596002 -0.225251
1886:6:16:0 -0.335022 -0.193625 -0.141397
1886:7:16:0 -0.502777 -0.0942988 -0.408478
1886:8:16:0 -0.437946 0.168535 -0.60648
1886:9:16:0 -0.526252 0.0618544 -0.588106
1886:10:16:0 -0.611167 -0.109902 -0.501265
1886:11:16:0 -0.537607 -0.128013 -0.409594
1886:12:16:0 -0.723798 -0.399767 -0.324031
1887:1:16:0 -0.464588 -0.190015 -0.274573
1887:2:16:0 -0.426044 -0.228929 -0.197115
1887:3:16:0 -0.344933 -0.238713 -0.10622
1887:4:16:0 -0.486195 -0.433944 -0.0522507
1887:5:16:0 -0.526118 -0.465537 -0.0605807
1887:6:16:0 -0.457632 -0.505368 0.0477359
1887:7:16:0 -0.277801 -0.366223 0.0884218
1887:8:16:0 -0.151709 -0.443109 0.2914
1887:9:16:0 -0.57276 -0.674914 0.102154
1887:10:16:0 -0.425952 -0.301017 -0.124935
1887:11:16:0 -0.352857 -0.340848 -0.0120085
1887:12:16:0 -0.484599 -0.421076 -0.0635239
1888:1:16:0 -0.655714 -0.502231 -0.153483
1888:2:16:0 -0.500877 -0.0799378 -0.420939
1888:3:16:0 -0.521423 0.0367297 -0.558152
1888:4:16:0 -0.5118 0.137137 -0.648937
1888:5:16:0 -0.201974 0.0764303 -0.278405
1888:6:16:0 -0.336086 -0.1238 -0.212286
1888:7:16:0 -0.324822 -0.18793 -0.136892
1888:8:16:0 -0.0662516 -0.00296112 -0.0632905
1888:9:16:0 -0.259299 -0.126853 -0.132445
1888:10:16:0 0.0221896 0.0739992 -0.0518096
1888:11:16:0 -0.124481 0.163413 -0.287895
1888:12:16:0 -0.105872 0.117824 -0.223697
1889:1:16:0 -0.153635 0.332529 -0.486164
1889:2:16:0 0.0678295 0.134309 -0.0664796
1889:3:16:0 -0.0676223 0.423538 -0.49116
1889:4:16:0 -0.280029 0.339036 -0.619065
1889:5:16:0 -0.112697 0.328417 -0.441114
1889:6:16:0 -0.278474 0.0663543 -0.344828
1889:7:16:0 -0.160744 0.035158 -0.195902
1889:8:16:0 -0.24522 0.104728 -0.349948
1889:9:16:0 -0.365284 0.156511 -0.521795
1889:10:16:0 -0.670451 0.0751344 -0.745585
1889:11:16:0 -0.67187 -0.0851766 -0.586693
1889:12:16:0 -0.534819 -0.366118 -0.168701
1890:1:16:0 -0.511239 -0.603361 0.0921229
1890:2:16:0 -0.44124 -0.567535 0.126295
1890:3:16:0 -0.25104 -0.214939 -0.0361013
1890:4:16:0 -0.409265 -0.39675 -0.0125148
1890:5:16:0 -0.607377 -0.489486 -0.117891
1890:6:16:0 -0.854349 -0.305841 -0.548508
1890:7:16:0 -0.92522 -0.334115 -0.591105
1890:8:16:0 -0.919617 -0.535457 -0.38416
1890:9:16:0 -1.0346 -0.357449 -0.677148
1890:10:16:0 -0.953899 -0.185343 -0.768556
1890:11:16:0 -0.953916 -0.330629 -0.623287
1890:12:16:0 -0.66287 -0.323457 -0.339413
1891:1:16:0 -0.495805 -0.370374 -0.125431
1891:2:16:0 -0.470712 -0.0762215 -0.394491
1891:3:16:0 -0.406055 0.0413697 -0.447424
1891:4:16:0 -0.243144 -0.149352 -0.0937922
1891:5:16:0 -0.3523 -0.241103 -0.111198
1891:6:16:0 -0.233702 -0.344172 0.11047
1891:7:16:0 -0.487868 -0.503741 0.0158729
1891:8:16:0 -0.340238 -0.635475 0.295237
1891:9:16:0 -0.28022 -0.59606 0.315841
1891:10:16:0 -0.267866 -0.535806 0.26794
