20111114,20111120,0.25
20111121,20111127,-0.01
20111128,20111204,0.31
20111205,20111211,0.01
20111212,20111218,0.05
20111219,20111225,0.46
20111226,20120101,0.19
20120102,20120108,0.36
20120109,20120115,-0.07
20120116,20120122,-0.14
20120123,20120129,-0.01
20120130,20120205,-0.32
20120206,20120212,-0.41
20120213,20120219,-0.23
