20101018,20101024,-1.41
20101025,20101031,-1.40
20101101,20101107,-1.33
20101108,20101114,-1.23
20101115,20101121,-1.35
20101122,20101128,-1.29
20101129,20101205,-1.38
20101206,20101212,-1.43
20101213,20101219,-1.29
20101220,20101226,-1.44
20101227,20110102,-1.39
20110103,20110109,-1.45
20110110,20110116,-1.66
20110117,20110123,-1.44
20110124,20110130,-1.39
20110131,20110206,-1.11
20110207,20110213,-0.96
20110214,20110220,-1.05
20110221,20110227,-1.04
20110228,20110306,-0.92
20110307,20110313,-0.69
20110314,20110320,-0.47
20110321,20110327,-0.67
20110328,20110403,-0.51
20110404,20110410,-0.36
20110411,20110417,-0.40
20110418,20110424,-0.37
20110425,20110501,-0.52
20110502,20110508,-0.38
20110509,20110515,-0.18
20110516,20110522,0.02
20110523,20110529,-0.05
20110530,20110605,0.07
20110606,20110612,0.02
20110613,20110619,0.05
20110620,20110626,0.13
20110627,20110703,0.02
20110704,20110710,-0.04
20110711,20110717,-0.04
20110718,20110724,-0.14
20110725,20110731,-0.17
20110801,20110807,-0.33
20110808,20110814,-0.46
20110815,20110821,-0.56
20110822,20110828,-0.54
20110829,20110904,-0.70
20110905,20110911,-0.62
20110912,20110918,-0.61
20110919,20110925,-0.60
20110926,20111002,-0.63
20111003,20111009,-0.78
20111010,20111016,-0.54
20111017,20111023,-0.68
20111024,20111030,-0.90
20111031,20111106,-0.83
20111107,20111113,-0.86
20111114,20111120,-0.81
20111121,20111127,-0.94
20111128,20111204,-0.93
20111205,20111211,-0.87
20111212,20111218,-0.77
20111219,20111225,-0.79
